country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,19.8,38.1,16.2,34.4,41.6,47.6,42.8,46.8,32.9,29.9,28.9,44.4,52.8,44.2,26,30.1,20.5,23.3,18,,,,,,,,,,,,,,,,,,,,,,,,257,206,233,210,180,260,254,279,227,231,193,148,133,114,118
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.905,1.4,1.79,397,1110,167,45.9,35.5,32.3,34.8,47.2,62.2,27.6,17.2,18.3,15,11.1,10.4,9.24,7.46,7.92,8.58,10.1,9.37,10,7.45,8.65,12,5.72
Algeria,30.9,38.1,56.1,36,35.8,20.6,24.1,13.6,11.1,9.53,6.86,6.75,4.76,3.56,2.43,3.33,1.89,1.31,1.38,0.784,1.24,1.02,0.799,0.509,0.641,0.86,0.783,1.16,1.05,0.946,1.87,1.45,2.54,2.25,2.31,2.29,2.55,2.29,3.21,1.08,1.55,1.35,1.07,1.16,1.12,1.06,0.682,0.849,0.509,0.47,0.301,0.254,0.18,0.224,0.165,0.104,0.195
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,157,49.2,66.4,,,,,,10.9,10.4,28,27.1,63.6,16.7,2.55,3.18,2.7,2.08,1.98,1.44,1.41,1.56,1.21,3.88,2.58
Argentina,,,0.749,1.13,0.313,-0.978,-0.165,0.421,0.71,0.34,0.121,0.345,0.281,0.416,0.223,0.17,0.194,0.159,0.174,0.24,0.1,0.244,0.162,0.216,0.307,0.251,0.443,0.457,0.649,1.77,0.853,0.986,0.692,0.503,0.286,0.309,0.267,0.18,0.144,0.166,0.131,0.402,0.755,0.558,0.319,0.251,0.254,0.148,0.17,0.213,0.171,0.0976,0.197,0.0364,0.0537,-0.0186,0.00275
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331,108,92.3,62,80.5,91.5,53.2,53.6,61.8,60.6,50.5,57.3,36.8,28.8,11.6,9.4,10.1,6.39,17.5,11.3,14.3,10.1,11.3,11,15.9,17.2
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,-21.5,2.76,29.4,16.5,10.5,13.6,8.11,14.1,12.9,19.6,16.3,7.81,3.49,3.83,3.32,3.18,2.57,2.78,1.69,2.15,1.9,-0.39,1.12,0.47,0.821
Bahamas,,,,,,,,,,,,,,,,,,0.527,1.24,0.841,0.823,0.722,0.552,0.253,3.21,0.157,1.23,0.131,,0.406,0.338,0.302,0.312,0.143,0.103,0.449,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,14.6,13.7,11.8,15.6,12.7,5.69,12.2,1.02,-0.349,-0.185,19.8,7.17,5.73,11.7,8.76,11.7,15.1,13.6,15.1,11.8,4.02,5.02,2.75,5.01,2.16,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,2.13,75.7,59.8,57.6,89.6,49.7,70.5,64.9,66.7,49.1,31.6,41.6,35.7,38.1,31.9,40.5,47.7,38.6,38.8,40.2,35.9,33.1,23.2,28,17.7,12.8,9.62,10.5,10.5,9.24,8.01,6.76,9.42,8.71,7.36,6.51,7.26,8.63,4.61,4.64,4.24,5.72,6.18,4.9,4.56,3.81
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.784,0.0218,1.82,0.428,-0.433,1.48,1.12,2.94,-0.37,0.0433,-0.241,0.612,3.37,4.35,-0.291,-0.255,1.97,0.81,1.43,2.26,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675,0.629,0.553,0.486,0.535,0.586,0.521,0.446,0.366,0.439,0.638,-0.177
Belize,,,,,,,,,,,,,,,,,,,,,30.9,22.5,32.3,39.4,28,48.5,51.9,38.7,31.3,25.9,28.6,16.6,19,19.5,26.9,14,16.3,10.7,11.7,26.5,6.17,10.7,10.6,6.49,3.63,5.15,3.47,8.78,6.81,10.6,13.5,8.66,10.4,17.4,10.3,7.07,8.7
Benin,0.0774,5.73,14.3,14.4,68.8,70.3,56.1,44.9,32.5,31.4,38.1,84.1,36.5,40.2,32.7,41.4,43.6,36.7,40.4,37.5,41.4,40.1,22.8,44.8,55.9,100,74.9,66.2,62.4,151,96.8,92.4,117,78.8,90.1,60.4,69.6,52.6,46,29.4,40.4,40.1,33.3,34.9,39.1,40.8,41.1,33.1,43.8,43.6,42.8,35.7,27.6,25.9,21.6,20,23.4
Bhutan,,,,,,,,,,,,,,,,,,,,,19.9,20.5,21.5,20.3,27.2,31.2,46.4,43.4,37.3,45.3,50.5,79.2,49.1,63.7,54.1,53.2,44.5,55.1,42.9,41.3,25,21.1,22.7,21,17.7,21.1,22.9,29.4,15.8,22,13.4,11.5,13.1,16.6,13,8.75,4.18
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2,90.8,89.4,60.4,70.7,58.9,65.4,69.6,69,44.9,31.6,37.3,31.9,64.4,53.8,88,81.6,47.3,53.5,23.8,21.5,24.2,21.5,15.2,13.8,12,9.72,11.8,9.74
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,74.2,55.9,58.5,98,65.2,58.4,45,34.4,35.3,17.7,19.3,15,8.99,12,18.2,17.9,17.2,15.8,17.8,11.7,13.4
